# Phase-2 HLS results @ 100 MHz (10 ns) -- Vitis HLS 2025.1, part xck26-sfvc784-2LV-c.
#
# TIMING FIELDS (corrected audit): the columns below come verbatim from the csynth
# "Performance Estimates -> Timing" table (Target/Estimated/Uncertainty) and HLS 200-789.
#   hls_scheduling_slack_ns = target_clock_ns - clock_uncertainty_ns - hls_estimated_clock_ns.
#   post_impl_achieved_period is NOT AVAILABLE: no Vivado place-and-route and no board timing
#   were run, so there is no measured achieved clock period. Do NOT read (target - slack) as an
#   achieved period -- that value is meaningless (it ignores the 2.70 ns clock uncertainty).
#   hls_estimated_clock_ns is a pre-implementation critical-path ESTIMATE only.
#
# LATENCY: csynth_* are the scheduler's STATIC estimate; cosim_* are XSIM-MEASURED RTL cycles
#   (min==avg==max here => data-independent). cosim_transactions = kernel calls per cosim run
#   (2 = one per golden fixture). See cosim_results.md and comparison.md for the boundary audit.
#
# All numbers are HLS estimates / RTL-sim measurements, NOT KR260 board measurements. No power/energy measured.
# Interface: all array args ap_memory; block control ap_ctrl_hs; no AXI/m_axi/DDR. BRAM=URAM=0.
kernel,label,top_function,part,target_clock_ns,clock_uncertainty_ns,hls_estimated_clock_ns,hls_scheduling_slack_ns,hls_estimated_fmax_mhz,post_impl_achieved_period_ns,synth_status,cosim_status,csynth_latency_min_cycles,csynth_latency_max_cycles,csynth_ii_cycles,cosim_latency_cycles,cosim_ii_cycles,cosim_transactions,LUT,FF,DSP,BRAM,URAM,fp_operator_cores,max_abs_err_vs_golden,golden_reference
A,direct_original,anp_original_forward,xck26-sfvc784-2LV-c,10.00,2.70,7.114,0.19,140.57,not_available,PASS,PASS,472,472,473,454,455,2,8537,11994,15,0,0,4 (2 fmul + 1 fadd + 1 faddfsub),5.960e-08,original
B,exact_reuse_l0,anp_original_reuse_l0,xck26-sfvc784-2LV-c,10.00,2.70,7.114,0.19,140.57,not_available,PASS,PASS,357,357,358,339,340,2,7250,10007,15,0,0,4 (2 fmul + 1 fadd + 1 faddfsub),5.960e-08,original
C,dense_linearized,anp_linearized_delta,xck26-sfvc784-2LV-c,10.00,2.70,7.114,0.19,140.57,not_available,PASS,PASS,346,346,347,330,331,2,6573,9588,13,0,0,4 (2 fmul + 2 fadd),2.980e-08,linearized
